Genome	Num bases covered	Frac bases covered	Frac bases covered over unambig	Average coverage/depth	Average coverage/depth over unambig
chikungunya, genome 0	11829	1.0	1.0	2.83202299434	2.83202299434
chikungunya, genome 0 (rc)	11829	1.0	1.0	2.83202299434	2.83202299434
chikungunya, genome 1	11805	1.0	1.00084781687	2.71918678526	2.72149215769
chikungunya, genome 1 (rc)	11805	1.0	1.00084781687	2.71918678526	2.72149215769
chikungunya, genome 2	11979	1.0	1.0	1.92837465565	1.92837465565
chikungunya, genome 2 (rc)	11979	1.0	1.0	1.92837465565	1.92837465565
chikungunya, genome 3	12017	1.0	1.0	1.92227677457	1.92227677457
chikungunya, genome 3 (rc)	12017	1.0	1.0	1.92227677457	1.92227677457
chikungunya, genome 4	11733	1.0	1.0	2.48870706554	2.48870706554
chikungunya, genome 4 (rc)	11733	1.0	1.0	2.48870706554	2.48870706554
chikungunya, genome 5	11733	1.0	1.0	2.48870706554	2.48870706554
chikungunya, genome 5 (rc)	11733	1.0	1.0	2.48870706554	2.48870706554
chikungunya, genome 6	11733	1.0	1.0	2.48018409614	2.48018409614
chikungunya, genome 6 (rc)	11733	1.0	1.0	2.48018409614	2.48018409614
chikungunya, genome 7	11811	1.0	1.0	2.76860553721	2.76860553721
chikungunya, genome 7 (rc)	11811	1.0	1.0	2.76860553721	2.76860553721
chikungunya, genome 8	11774	1.0	1.0	2.66689315441	2.66689315441
chikungunya, genome 8 (rc)	11774	1.0	1.0	2.66689315441	2.66689315441
chikungunya, genome 9	11837	1.0	1.0	2.00219650249	2.00219650249
chikungunya, genome 9 (rc)	11837	1.0	1.0	2.00219650249	2.00219650249
chikungunya, genome 10	11837	1.0	1.0	2.01909267551	2.01909267551
chikungunya, genome 10 (rc)	11837	1.0	1.0	2.01909267551	2.01909267551
chikungunya, genome 11	11837	1.0	1.0	2.01909267551	2.01909267551
chikungunya, genome 11 (rc)	11837	1.0	1.0	2.01909267551	2.01909267551
chikungunya, genome 12	11837	1.0	1.0	2.00219650249	2.00219650249
chikungunya, genome 12 (rc)	11837	1.0	1.0	2.00219650249	2.00219650249
chikungunya, genome 13	11826	1.0	1.0	2.61288685946	2.61288685946
chikungunya, genome 13 (rc)	11826	1.0	1.0	2.61288685946	2.61288685946
chikungunya, genome 14	11754	1.0	1.0	2.50127616131	2.50127616131
chikungunya, genome 14 (rc)	11754	1.0	1.0	2.50127616131	2.50127616131
chikungunya, genome 15	11753	1.0	1.0000850919	2.57806517485	2.57828454731
chikungunya, genome 15 (rc)	11753	1.0	1.0000850919	2.57806517485	2.57828454731
chikungunya, genome 16	11823	1.0	1.00025380711	2.52896895881	2.5296108291
chikungunya, genome 16 (rc)	11823	1.0	1.00025380711	2.52896895881	2.5296108291
chikungunya, genome 17	11817	1.0	1.0	1.1339595498	1.1339595498
chikungunya, genome 17 (rc)	11817	1.0	1.0	1.1339595498	1.1339595498
chikungunya, genome 18	11860	1.0	1.0	1.15514333895	1.15514333895
chikungunya, genome 18 (rc)	11860	1.0	1.0	1.15514333895	1.15514333895
chikungunya, genome 19	11823	1.0	1.0	1.15875835236	1.15875835236
chikungunya, genome 19 (rc)	11823	1.0	1.0	1.15875835236	1.15875835236
chikungunya, genome 20	11832	1.0	1.00008452371	1.14942528736	1.14952244104
chikungunya, genome 20 (rc)	11832	1.0	1.00008452371	1.14942528736	1.14952244104
chikungunya, genome 21	11823	1.0	1.00008458806	1.1503002622	1.15039756386
chikungunya, genome 21 (rc)	11823	1.0	1.00008458806	1.1503002622	1.15039756386
chikungunya, genome 22	11823	1.0	1.00008458806	1.15875835236	1.15885636948
chikungunya, genome 22 (rc)	11823	1.0	1.00008458806	1.15875835236	1.15885636948
chikungunya, genome 23	11939	1.0	1.00016754628	2.06884998744	2.06919661557
chikungunya, genome 23 (rc)	11939	1.0	1.00016754628	2.06884998744	2.06919661557
chikungunya, genome 24	11976	1.0	1.0	2.14595858383	2.14595858383
chikungunya, genome 24 (rc)	11976	1.0	1.0	2.14595858383	2.14595858383
chikungunya, genome 25	11774	1.0	1.0	2.68387973501	2.68387973501
chikungunya, genome 25 (rc)	11774	1.0	1.0	2.68387973501	2.68387973501
chikungunya, genome 26	11775	1.0	1.0	2.59872611465	2.59872611465
chikungunya, genome 26 (rc)	11775	1.0	1.0	2.59872611465	2.59872611465
chikungunya, genome 27	11986	1.0	1.00008343763	2.2693141999	2.2695035461
chikungunya, genome 27 (rc)	11986	1.0	1.00008343763	2.2693141999	2.2695035461
chikungunya, genome 28	11753	1.0	1.0000850919	2.34833659491	2.34853641933
chikungunya, genome 28 (rc)	11753	1.0	1.0000850919	2.34833659491	2.34853641933
chikungunya, genome 29	11968	1.0	1.00016714023	2.13068181818	2.13103794083
chikungunya, genome 29 (rc)	11968	1.0	1.00016714023	2.13068181818	2.13103794083
chikungunya, genome 30	11843	1.0	1.0000844452	1.19057671198	1.19067725046
chikungunya, genome 30 (rc)	11843	1.0	1.0000844452	1.19057671198	1.19067725046
chikungunya, genome 31	11768	1.0	1.0	2.42182188987	2.42182188987
chikungunya, genome 31 (rc)	11768	1.0	1.0	2.42182188987	2.42182188987
chikungunya, genome 32	11686	1.0	1.00025678336	2.37891494095	2.37952580673
chikungunya, genome 32 (rc)	11686	1.0	1.00025678336	2.37891494095	2.37952580673
chikungunya, genome 33	11847	1.0	1.00008441668	1.1479699502	1.14806685801
chikungunya, genome 33 (rc)	11847	1.0	1.00008441668	1.1479699502	1.14806685801
chikungunya, genome 34	11897	1.0	1.0	2.1013700933	2.1013700933
chikungunya, genome 34 (rc)	11897	1.0	1.0	2.1013700933	2.1013700933
chikungunya, genome 35	11975	1.0	1.00008351428	1.89561586639	1.89577417738
chikungunya, genome 35 (rc)	11975	1.0	1.00008351428	1.89561586639	1.89577417738
chikungunya, genome 36	11766	1.0	1.0	2.64320924698	2.64320924698
chikungunya, genome 36 (rc)	11766	1.0	1.0	2.64320924698	2.64320924698
chikungunya, genome 37	11897	1.0	1.00008406187	2.11818105405	2.11835911231
chikungunya, genome 37 (rc)	11897	1.0	1.00008406187	2.11818105405	2.11835911231
chikungunya, genome 38	11758	1.0	1.0	2.65351250213	2.65351250213
chikungunya, genome 38 (rc)	11758	1.0	1.0	2.65351250213	2.65351250213
chikungunya, genome 39	11832	1.0	1.0	1.15787694388	1.15787694388
chikungunya, genome 39 (rc)	11832	1.0	1.0	1.15787694388	1.15787694388
chikungunya, genome 40	11979	1.0	1.0	2.13707321145	2.13707321145
chikungunya, genome 40 (rc)	11979	1.0	1.0	2.13707321145	2.13707321145
