Genome	Num bases covered	Frac bases covered	Frac bases covered over unambig	Average coverage/depth	Average coverage/depth over unambig
influenza, genome 0	13348	1.0	1.0	1.97782439317	1.97782439317
influenza, genome 0 (rc)	13348	1.0	1.0	1.97782439317	1.97782439317
influenza, genome 1	13418	1.0	1.0	2.32523475928	2.32523475928
influenza, genome 1 (rc)	13418	1.0	1.0	2.32523475928	2.32523475928
influenza, genome 2	13353	1.0	1.0	2.02201752415	2.02201752415
influenza, genome 2 (rc)	13353	1.0	1.0	2.02201752415	2.02201752415
influenza, genome 3	13338	1.0	1.0	1.96431249063	1.96431249063
influenza, genome 3 (rc)	13338	1.0	1.0	1.96431249063	1.96431249063
influenza, genome 4	13320	1.0	1.0	1.97447447447	1.97447447447
influenza, genome 4 (rc)	13320	1.0	1.0	1.97447447447	1.97447447447
influenza, genome 5	13418	1.0	1.0	2.31032940826	2.31032940826
influenza, genome 5 (rc)	13418	1.0	1.0	2.31032940826	2.31032940826
influenza, genome 6	13353	1.0	1.0	2.02201752415	2.02201752415
influenza, genome 6 (rc)	13353	1.0	1.0	2.02201752415	2.02201752415
influenza, genome 7	13353	1.0	1.0	2.02201752415	2.02201752415
influenza, genome 7 (rc)	13353	1.0	1.0	2.02201752415	2.02201752415
influenza, genome 8	13385	1.0	1.0	2.08442286141	2.08442286141
influenza, genome 8 (rc)	13385	1.0	1.0	2.08442286141	2.08442286141
influenza, genome 9	13417	1.0	1.0	2.42975329805	2.42975329805
influenza, genome 9 (rc)	13417	1.0	1.0	2.42975329805	2.42975329805
influenza, genome 10	13353	1.0	1.0	1.98457275519	1.98457275519
influenza, genome 10 (rc)	13353	1.0	1.0	1.98457275519	1.98457275519
influenza, genome 11	13348	1.0	1.0	2.00779142943	2.00779142943
influenza, genome 11 (rc)	13348	1.0	1.0	2.00779142943	2.00779142943
influenza, genome 12	13510	1.0	1.0	2.89415247964	2.89415247964
influenza, genome 12 (rc)	13510	1.0	1.0	2.89415247964	2.89415247964
influenza, genome 13	13392	1.0	1.0	2.04599761051	2.04599761051
influenza, genome 13 (rc)	13392	1.0	1.0	2.04599761051	2.04599761051
influenza, genome 14	13133	1.0	1.0	2.72595751161	2.72595751161
influenza, genome 14 (rc)	13133	1.0	1.0	2.72595751161	2.72595751161
influenza, genome 15	13353	1.0	1.0	2.03699543174	2.03699543174
influenza, genome 15 (rc)	13353	1.0	1.0	2.03699543174	2.03699543174
influenza, genome 16	13353	1.0	1.0	1.98457275519	1.98457275519
influenza, genome 16 (rc)	13353	1.0	1.0	1.98457275519	1.98457275519
influenza, genome 17	13353	1.0	1.0	2.02201752415	2.02201752415
influenza, genome 17 (rc)	13353	1.0	1.0	2.02201752415	2.02201752415
influenza, genome 18	13394	1.0	1.0	2.04569210094	2.04569210094
influenza, genome 18 (rc)	13394	1.0	1.0	2.04569210094	2.04569210094
influenza, genome 19	13391	1.0	1.0	2.72571129863	2.72571129863
influenza, genome 19 (rc)	13391	1.0	1.0	2.72571129863	2.72571129863
influenza, genome 20	13138	1.0	1.00007612088	1.67453189222	1.67465935906
influenza, genome 20 (rc)	13138	1.0	1.00007612088	1.67453189222	1.67465935906
influenza, genome 21	13510	1.0	1.0	2.97557364915	2.97557364915
influenza, genome 21 (rc)	13510	1.0	1.0	2.97557364915	2.97557364915
influenza, genome 22	13103	1.0	1.0	2.44218881172	2.44218881172
influenza, genome 22 (rc)	13103	1.0	1.0	2.44218881172	2.44218881172
influenza, genome 23	13353	1.0	1.0	1.99206170898	1.99206170898
influenza, genome 23 (rc)	13353	1.0	1.0	1.99206170898	1.99206170898
influenza, genome 24	13133	1.0	1.0	2.52798294373	2.52798294373
influenza, genome 24 (rc)	13133	1.0	1.0	2.52798294373	2.52798294373
influenza, genome 25	13160	1.0	1.0	2.20364741641	2.20364741641
influenza, genome 25 (rc)	13160	1.0	1.0	2.20364741641	2.20364741641
influenza, genome 26	13389	1.0	1.0	2.35267757114	2.35267757114
influenza, genome 26 (rc)	13389	1.0	1.0	2.35267757114	2.35267757114
influenza, genome 27	13489	1.0	1.0	3.1877826377	3.1877826377
influenza, genome 27 (rc)	13489	1.0	1.0	3.1877826377	3.1877826377
influenza, genome 28	13388	1.0	1.0	2.06154765462	2.06154765462
influenza, genome 28 (rc)	13388	1.0	1.0	2.06154765462	2.06154765462
influenza, genome 29	13103	1.0	1.0	2.41166145158	2.41166145158
influenza, genome 29 (rc)	13103	1.0	1.0	2.41166145158	2.41166145158
influenza, genome 30	13340	1.0	1.0	1.98650674663	1.98650674663
influenza, genome 30 (rc)	13340	1.0	1.0	1.98650674663	1.98650674663
influenza, genome 31	13393	1.0	1.0	2.05331143134	2.05331143134
influenza, genome 31 (rc)	13393	1.0	1.0	2.05331143134	2.05331143134
influenza, genome 32	13133	1.0	1.0	2.64219904058	2.64219904058
influenza, genome 32 (rc)	13133	1.0	1.0	2.64219904058	2.64219904058
influenza, genome 33	13310	1.0	1.0	1.93087903832	1.93087903832
influenza, genome 33 (rc)	13310	1.0	1.0	1.93087903832	1.93087903832
influenza, genome 34	13133	1.0	1.0	2.54321175664	2.54321175664
influenza, genome 34 (rc)	13133	1.0	1.0	2.54321175664	2.54321175664
influenza, genome 35	13366	1.0	1.0	2.52880442915	2.52880442915
influenza, genome 35 (rc)	13366	1.0	1.0	2.52880442915	2.52880442915
influenza, genome 36	13349	1.0	1.0	2.01513221964	2.01513221964
influenza, genome 36 (rc)	13349	1.0	1.0	2.01513221964	2.01513221964
influenza, genome 37	13489	1.0	1.0	3.06916746979	3.06916746979
influenza, genome 37 (rc)	13489	1.0	1.0	3.06916746979	3.06916746979
influenza, genome 38	13070	0.962232202017	0.970592603594	2.26754030774	2.28724194267
influenza, genome 38 (rc)	13070	0.962232202017	0.970592603594	2.26754030774	2.28724194267
influenza, genome 39	13324	1.0	1.0	1.95136595617	1.95136595617
influenza, genome 39 (rc)	13324	1.0	1.0	1.95136595617	1.95136595617
influenza, genome 40	13348	1.0	1.0	1.97782439317	1.97782439317
influenza, genome 40 (rc)	13348	1.0	1.0	1.97782439317	1.97782439317
influenza, genome 41	13103	1.0	1.0	2.48034801191	2.48034801191
influenza, genome 41 (rc)	13103	1.0	1.0	2.48034801191	2.48034801191
influenza, genome 42	13103	1.0	1.0	2.44982065176	2.44982065176
influenza, genome 42 (rc)	13103	1.0	1.0	2.44982065176	2.44982065176
influenza, genome 43	13103	1.0	1.0	2.41166145158	2.41166145158
influenza, genome 43 (rc)	13103	1.0	1.0	2.41166145158	2.41166145158
influenza, genome 44	13568	1.0	1.0	3.08077830189	3.08077830189
influenza, genome 44 (rc)	13568	1.0	1.0	3.08077830189	3.08077830189
influenza, genome 45	13133	1.0	1.00045707321	2.83255920201	2.83385388893
influenza, genome 45 (rc)	13133	1.0	1.00045707321	2.83255920201	2.83385388893
influenza, genome 46	13386	1.0	1.0	2.09173763634	2.09173763634
influenza, genome 46 (rc)	13386	1.0	1.0	2.09173763634	2.09173763634
influenza, genome 47	13353	1.0	1.0	2.03699543174	2.03699543174
influenza, genome 47 (rc)	13353	1.0	1.0	2.03699543174	2.03699543174
influenza, genome 48	13197	1.0	1.0	2.4551034326	2.4551034326
influenza, genome 48 (rc)	13197	1.0	1.0	2.4551034326	2.4551034326
influenza, genome 49	13566	1.0	1.0	2.97066194899	2.97066194899
influenza, genome 49 (rc)	13566	1.0	1.0	2.97066194899	2.97066194899
influenza, genome 50	13353	1.0	1.0	1.98457275519	1.98457275519
influenza, genome 50 (rc)	13353	1.0	1.0	1.98457275519	1.98457275519
influenza, genome 51	13418	1.0	1.0	2.28797138173	2.28797138173
influenza, genome 51 (rc)	13418	1.0	1.0	2.28797138173	2.28797138173
influenza, genome 52	13353	1.0	1.0	2.02950647795	2.02950647795
influenza, genome 52 (rc)	13353	1.0	1.0	2.02950647795	2.02950647795
influenza, genome 53	13197	1.0	1.0	2.49299083125	2.49299083125
influenza, genome 53 (rc)	13197	1.0	1.0	2.49299083125	2.49299083125
influenza, genome 54	13129	1.0	1.0	1.91941503542	1.91941503542
influenza, genome 54 (rc)	13129	1.0	1.0	1.91941503542	1.91941503542
influenza, genome 55	13417	1.0	1.0	2.45211299098	2.45211299098
influenza, genome 55 (rc)	13417	1.0	1.0	2.45211299098	2.45211299098
