dataset	mismatches	cover_extension	island_of_exact_match
achimota_rubulavirus_1	1	50	25
achimota_rubulavirus_2	0	50	25
adeno-associated_dependoparvovirus_a	3	50	25
adeno-associated_dependoparvovirus_b	2	20	25
aedes_flavivirus	4	50	25
african_green_monkey_simian_foamy	0	50	25
aguacate	1	50	25
aichivirus_a	5	50	25
akabane_orthobunyavirus	6	50	25
alagoas_vesiculovirus	0	40	25
alajuela_orthobunyavirus	0	40	25
allpahuayo_mammarenavirus	0	40	25
alphapapillomavirus_4	3	50	25
alphapapillomavirus_7	5	50	25
alphapapillomavirus_9	7	50	25
ambe	0	40	25
andes_orthohantavirus	4	50	25
anhanga	1	50	25
anopheles_a_orthobunyavirus	0	50	25
anopheles_b_orthobunyavirus	0	0	25
apoi	1	40	25
aravan_lyssavirus	0	40	25
argentinian_mammarenavirus	4	50	25
aroa	0	50	25
arrabida	0	50	25
arumowot	0	50	25
asama_orthohantavirus	1	30	25
australian_bat_lyssavirus	2	40	25
avian_avulavirus_1	7	50	25
avian_avulavirus_10	1	50	25
avian_avulavirus_11	1	0	25
avian_avulavirus_12	1	50	25
avian_avulavirus_13	3	50	25
avian_avulavirus_14	0	50	25
avian_avulavirus_15	0	50	25
avian_avulavirus_16	2	50	25
avian_avulavirus_17	0	40	25
avian_avulavirus_18	1	50	25
avian_avulavirus_19	0	30	25
avian_avulavirus_3	0	0	25
avian_avulavirus_4	6	50	25
avian_avulavirus_5	1	50	25
avian_avulavirus_6	3	50	25
avian_avulavirus_7	1	0	25
avian_avulavirus_8	4	0	25
avian_avulavirus_9	1	40	25
avian_gyrovirus_2	2	30	25
avian_metapneumovirus	4	50	25
bagaza	4	50	25
banna	6	40	25
banzi	0	0	25
barmah_forest	0	50	25
bat_hepacivirus	0	0	25
bat_mumps_rubulavirus	3	50	25
bat_sapovirus_tlc58--hk	0	30	25
batama_orthobunyavirus	0	0	25
bayou_orthohantavirus	0	40	25
bear_canyon_mammarenavirus	1	50	25
beilong	4	40	25
betapapillomavirus_1	6	50	25
betapapillomavirus_2	7	50	25
betapapillomavirus_3	3	0	25
betapapillomavirus_4	4	0	25
betapapillomavirus_5	3	50	25
betapapillomavirus_6	0	40	25
bhanja	4	40	25
bimiti_orthobunyavirus	0	30	25
black_creek_canal_orthohantavirus	1	40	25
bokeloh_bat_lyssavirus	4	50	25
bouboui	0	50	25
bovine_hepacivirus	5	50	25
bovine_respirovirus_3	6	50	25
bowe_orthohantavirus	2	40	25
brazilian_mammarenavirus	0	50	25
brazoran	1	50	25
bruges_orthohantavirus	0	50	25
bujaru_phlebovirus	3	50	25
bundibugyo_ebolavirus	2	50	25
bunyamwera_orthobunyavirus	7	50	25
bwamba_orthobunyavirus	1	0	25
cacipacore	1	0	25
cali_mammarenavirus	2	0	25
california_encephalitis_orthobunyavirus	7	50	25
california_reptarenavirus	0	40	25
candiru_phlebovirus	7	50	25
canine_morbillivirus	6	50	25
cano_delgadito_orthohantavirus	0	0	25
cao_bang_orthohantavirus	0	40	25
capim_orthobunyavirus	0	40	25
caraparu_orthobunyavirus	0	50	25
cardiovirus_a	3	50	25
cardiovirus_b	7	50	25
catu_orthobunyavirus	0	40	25
cedar_henipavirus	0	50	25
cell_fusing_agent	2	50	25
cetacean_morbillivirus	2	50	25
chandipura_vesiculovirus	3	50	25
chaoyang	3	0	25
chapare_mammarenavirus	1	0	25
chicken_anemia	4	30	25
chikungunya	5	50	25
choclo_orthohantavirus	0	40	25
circular_ssdna_virus_hv-cv1	0	30	25
cocal_vesiculovirus	0	0	25
colorado_tick_fever	0	50	25
corriparta	0	50	25
cosavirus_a	3	50	25
cosavirus_b	2	30	25
cosavirus_d	0	30	25
cosavirus_e	0	40	25
cosavirus_f	0	0	25
cowpox	7	50	25
crimean-congo_hemorrhagic_fever_orthonairovirus	7	50	25
culex_flavivirus	4	50	25
cupixi_mammarenavirus	0	50	25
dabieshan_orthohantavirus	1	30	25
dengue	7	50	25
dera_ghazi_khan_orthonairovirus	1	50	25
dhori_thogotovirus	1	50	25
dobrava-belgrade_orthohantavirus	6	50	25
donggang	0	0	25
dugbe_orthonairovirus	3	0	25
duvenhage_lyssavirus	4	50	25
eastern_equine_encephalitis	3	50	25
edge_hill	0	40	25
ekpoma_1_tibrovirus	1	40	25
ekpoma_2_tibrovirus	0	40	25
el_moro_canyon_orthohantavirus	0	30	25
entebbe_bat	4	40	25
enterovirus_a	7	50	25
enterovirus_b	7	50	25
enterovirus_c	7	50	25
enterovirus_d	6	50	25
enterovirus_e	2	50	25
equine_rhinitis_a	5	50	25
erbovirus_a	4	50	25
european_bat_1_lyssavirus	4	40	25
european_bat_2_lyssavirus	4	40	25
everglades	1	0	25
eyach	3	50	25
feline_morbillivirus	6	50	25
flexal_mammarenavirus	0	40	25
foot-and-mouth_disease	7	50	25
fugong_orthohantavirus	0	40	25
fusong_orthohantavirus	1	30	25
gadgets_gully	0	40	25
gairo_mammarenavirus	0	40	25
gamboa_orthobunyavirus	3	50	25
gammapapillomavirus_18	3	50	25
gammapapillomavirus_24	1	50	25
gammapapillomavirus_27	1	0	25
gemycircularvirus_hv-gcv1	0	20	25
getah	3	50	25
giant_panda_anellovirus	0	50	25
giessen_reptarenavirus	2	50	25
golden_reptarenavirus	0	40	25
goose_paramyxovirus_sf02	0	50	25
gorilla_anellovirus	0	0	25
great_island	5	50	25
guajara_orthobunyavirus	2	40	25
guama_orthobunyavirus	2	50	25
guanarito_mammarenavirus	6	50	25
guaroa_orthobunyavirus	5	50	25
gyrovirus_4	1	30	25
gyrovirus_gyv3	1	30	25
gyrovirus_gyv7-sf	1	0	25
gyrovirus_tu243	0	20	25
gyrovirus_tu789	1	0	25
hanko	0	50	25
hantaan_orthohantavirus	7	50	25
hantavirus_z10	1	40	25
hazara_orthonairovirus	2	50	25
heartland	3	40	25
hendra_henipavirus	2	50	25
hepacivirus_a	2	30	25
hepacivirus_b	0	0	25
hepacivirus_c	7	50	25
hepacivirus_d	0	0	25
hepacivirus_f	0	40	25
hepacivirus_i	0	40	25
hepacivirus_j	0	50	25
hepacivirus_k	1	50	25
hepacivirus_l	1	30	25
hepacivirus_m	0	40	25
hepacivirus_n	3	0	25
hepatitis_b	7	50	25
hepatitis_delta	7	50	25
hepatovirus_a	6	50	25
highlands_j	2	50	25
hughes_orthonairovirus	5	50	25
human_alphaherpesvirus_1	6	50	25
human_alphaherpesvirus_2	7	50	25
human_alphaherpesvirus_3	4	50	25
human_associated_circovirus_1	0	20	25
human_associated_cyclovirus_1	0	20	25
human_associated_cyclovirus_10	1	30	25
human_associated_cyclovirus_11	0	20	25
human_associated_cyclovirus_12	0	20	25
human_associated_cyclovirus_2	0	20	25
human_associated_cyclovirus_3	0	20	25
human_associated_cyclovirus_4	0	0	25
human_associated_cyclovirus_5	0	0	25
human_associated_cyclovirus_6	0	20	25
human_associated_cyclovirus_7	0	20	25
human_associated_cyclovirus_8	3	40	25
human_associated_cyclovirus_9	0	20	25
human_associated_gemykibivirus_1	0	20	25
human_associated_gemykibivirus_2	2	30	25
human_associated_gemykibivirus_5	0	20	25
human_associated_gemyvongvirus_1	1	30	25
human_betaherpesvirus_5	7	50	25
human_betaherpesvirus_6a	2	50	25
human_betaherpesvirus_6b	4	50	25
human_betaherpesvirus_7	1	50	25
human_coronavirus_229e	7	50	25
human_coronavirus_hku1	3	50	25
human_coronavirus_nl63	4	50	25
human_endogenous_retrovirus_k	2	30	25
human_fecal_virus_jorvi2	0	30	25
human_fecal_virus_jorvi3	1	20	25
human_fecal_virus_jorvi4	0	30	25
human_gammaherpesvirus_4	7	50	25
human_gammaherpesvirus_8	5	50	25
human_immunodeficiency_virus_1	8	50	25
human_immunodeficiency_virus_2	7	50	25
human_mastadenovirus_a	7	50	25
human_mastadenovirus_b	7	50	25
human_mastadenovirus_c	7	50	25
human_mastadenovirus_d	7	50	25
human_mastadenovirus_e	6	50	25
human_mastadenovirus_f	5	50	25
human_mastadenovirus_g	6	50	25
human_metapneumovirus	5	50	25
human_orthopneumovirus	6	50	25
human_papillomavirus	0	50	25
human_papillomavirus_type_85	1	40	25
human_picobirnavirus	1	30	25
human_polyomavirus_1	3	40	25
human_polyomavirus_2	3	50	25
human_polyomavirus_3	1	20	25
human_polyomavirus_4	2	20	25
human_polyomavirus_5	2	40	25
human_respirovirus_1	4	50	25
human_respirovirus_3	5	50	25
human_rubulavirus_2	4	50	25
human_rubulavirus_4	6	50	25
human_smacovirus_1	4	40	25
ikoma_lyssavirus	0	40	25
ilheus	3	40	25
imjin_orthohantavirus	4	50	25
indiana_vesiculovirus	4	50	25
influenza_a_segment1	6	50	25
influenza_a_segment2	6	50	25
influenza_a_segment3	6	50	25
influenza_a_segment4	7	50	25
influenza_a_segment5	5	50	25
influenza_a_segment6	6	50	25
influenza_a_segment7	5	40	25
influenza_a_segment8	5	50	25
influenza_b_segment1	5	40	25
influenza_b_segment2	4	40	25
influenza_b_segment3	5	40	25
influenza_b_segment4	4	40	25
influenza_b_segment5	4	40	25
influenza_b_segment6	5	40	25
influenza_b_segment7	4	30	25
influenza_b_segment8	4	40	25
influenza_c_segment1	3	20	25
influenza_c_segment2	3	30	25
influenza_c_segment3	3	30	25
influenza_c_segment4	3	30	25
influenza_c_segment5	3	30	25
influenza_c_segment6	2	20	25
influenza_c_segment7	2	20	25
ippy_mammarenavirus	0	50	25
irkut_lyssavirus	1	50	25
isfahan_vesiculovirus	0	0	25
j-virus	0	50	25
japanese_encephalitis	7	50	25
jeju_orthohantavirus	2	40	25
jugra	1	0	25
kabuto_mountain	0	50	25
kadam	0	50	25
kadipiro	3	50	25
kaeng_khoi_orthobunyavirus	3	50	25
kairi_orthobunyavirus	4	50	25
kamiti_river	1	40	25
kasokero_orthonairovirus	0	50	25
kedougou	1	40	25
kenkeme_orthohantavirus	0	40	25
keterah_orthonairovirus	0	0	25
khabarovsk_orthohantavirus	1	40	25
khujand_lyssavirus	1	0	25
kokobera	1	50	25
koongol_orthobunyavirus	0	40	25
kyasanur_forest_disease	3	40	25
lagos_bat_lyssavirus	3	50	25
laguna_negra_orthohantavirus	0	0	25
laibin_orthohantavirus	2	50	25
langat	1	40	25
lassa_mammarenavirus	7	50	25
latino_mammarenavirus	0	50	25
le_dantec_ledantevirus	0	0	25
lebombo	1	50	25
leopards_hill	1	50	25
liao_ning	5	50	25
lleida_bat_lyssavirus	0	0	25
lloviu_cuevavirus	0	50	25
loei_river_mammarenavirus	3	50	25
