dataset	mismatches	cover_extension	island_of_exact_match
achimota_rubulavirus_1	0	0	25
achimota_rubulavirus_2	0	0	25
adeno-associated_dependoparvovirus_a	1	20	25
adeno-associated_dependoparvovirus_b	0	10	25
aedes_flavivirus	1	20	25
african_green_monkey_simian_foamy	0	0	25
aguacate	0	0	25
aichivirus_a	3	30	25
akabane_orthobunyavirus	3	30	25
alagoas_vesiculovirus	0	0	25
alajuela_orthobunyavirus	0	0	25
allpahuayo_mammarenavirus	0	0	25
alphapapillomavirus_4	2	30	25
alphapapillomavirus_7	2	30	25
alphapapillomavirus_9	5	50	25
ambe	0	0	25
andes_orthohantavirus	2	30	25
anhanga	0	0	25
anopheles_a_orthobunyavirus	0	0	25
anopheles_b_orthobunyavirus	0	0	25
apoi	0	0	25
aravan_lyssavirus	0	0	25
argentinian_mammarenavirus	3	30	25
aroa	0	30	25
arrabida	0	0	25
arumowot	0	20	25
asama_orthohantavirus	0	0	25
australian_bat_lyssavirus	1	20	25
avian_avulavirus_1	5	50	25
avian_avulavirus_10	0	20	25
avian_avulavirus_11	0	0	25
avian_avulavirus_12	0	20	25
avian_avulavirus_13	2	30	25
avian_avulavirus_14	0	0	25
avian_avulavirus_15	0	0	25
avian_avulavirus_16	1	20	25
avian_avulavirus_17	0	0	25
avian_avulavirus_18	0	20	25
avian_avulavirus_19	0	0	25
avian_avulavirus_3	0	20	25
avian_avulavirus_4	3	30	25
avian_avulavirus_5	1	20	25
avian_avulavirus_6	2	30	25
avian_avulavirus_7	0	20	25
avian_avulavirus_8	2	20	25
avian_avulavirus_9	0	20	25
avian_gyrovirus_2	1	0	25
avian_metapneumovirus	2	30	25
bagaza	3	20	25
banna	2	40	25
banzi	0	0	25
barmah_forest	0	20	25
bat_hepacivirus	0	0	25
bat_mumps_rubulavirus	0	20	25
bat_sapovirus_tlc58--hk	0	0	25
batama_orthobunyavirus	0	0	25
bayou_orthohantavirus	0	0	25
bear_canyon_mammarenavirus	1	20	25
beilong	2	20	25
betapapillomavirus_1	0	50	25
betapapillomavirus_2	2	50	25
betapapillomavirus_3	0	0	25
betapapillomavirus_4	0	0	25
betapapillomavirus_5	0	0	25
betapapillomavirus_6	0	0	25
bhanja	0	30	25
bimiti_orthobunyavirus	0	0	25
black_creek_canal_orthohantavirus	0	0	25
bokeloh_bat_lyssavirus	2	20	25
bouboui	0	0	25
bovine_hepacivirus	1	30	25
bovine_respirovirus_3	3	30	25
bowe_orthohantavirus	0	0	25
brazilian_mammarenavirus	0	20	25
brazoran	0	0	25
bruges_orthohantavirus	0	20	25
bujaru_phlebovirus	0	20	25
bundibugyo_ebolavirus	1	30	25
bunyamwera_orthobunyavirus	3	40	25
bwamba_orthobunyavirus	0	0	25
cacipacore	0	0	25
cali_mammarenavirus	1	20	25
california_encephalitis_orthobunyavirus	4	50	25
california_reptarenavirus	0	0	25
candiru_phlebovirus	1	50	25
canine_morbillivirus	3	30	25
cano_delgadito_orthohantavirus	0	0	25
cao_bang_orthohantavirus	0	0	25
capim_orthobunyavirus	0	20	25
caraparu_orthobunyavirus	0	20	25
cardiovirus_a	1	30	25
cardiovirus_b	4	50	25
catu_orthobunyavirus	0	0	25
cedar_henipavirus	0	20	25
cell_fusing_agent	1	10	25
cetacean_morbillivirus	1	10	25
chandipura_vesiculovirus	2	20	25
chaoyang	1	20	25
chapare_mammarenavirus	0	0	25
chicken_anemia	2	20	25
chikungunya	3	30	25
choclo_orthohantavirus	0	0	25
circular_ssdna_virus_hv-cv1	0	0	25
cocal_vesiculovirus	0	0	25
colorado_tick_fever	0	20	25
corriparta	0	0	25
cosavirus_a	1	20	25
cosavirus_b	0	0	25
cosavirus_d	0	0	25
cosavirus_e	0	0	25
cosavirus_f	0	0	25
cowpox	4	50	25
crimean-congo_hemorrhagic_fever_orthonairovirus	5	50	25
culex_flavivirus	3	30	25
cupixi_mammarenavirus	0	0	25
dabieshan_orthohantavirus	0	0	25
dengue	5	50	25
dera_ghazi_khan_orthonairovirus	0	20	25
dhori_thogotovirus	0	0	25
dobrava-belgrade_orthohantavirus	3	0	25
donggang	0	0	25
dugbe_orthonairovirus	0	20	25
duvenhage_lyssavirus	1	20	25
eastern_equine_encephalitis	2	30	25
edge_hill	0	0	25
ekpoma_1_tibrovirus	0	0	25
ekpoma_2_tibrovirus	0	0	25
el_moro_canyon_orthohantavirus	0	0	25
entebbe_bat	0	20	25
enterovirus_a	5	50	25
enterovirus_b	5	50	25
enterovirus_c	5	50	25
enterovirus_d	3	40	25
enterovirus_e	1	0	25
equine_rhinitis_a	2	30	25
erbovirus_a	1	0	25
european_bat_1_lyssavirus	3	20	25
european_bat_2_lyssavirus	2	20	25
everglades	0	0	25
eyach	2	30	25
feline_morbillivirus	3	30	25
flexal_mammarenavirus	0	20	25
foot-and-mouth_disease	5	50	25
fugong_orthohantavirus	0	0	25
fusong_orthohantavirus	0	0	25
gadgets_gully	0	0	25
gairo_mammarenavirus	0	20	25
gamboa_orthobunyavirus	1	20	25
gammapapillomavirus_18	0	20	25
gammapapillomavirus_24	0	0	25
gammapapillomavirus_27	0	0	25
gemycircularvirus_hv-gcv1	0	0	25
getah	2	20	25
giant_panda_anellovirus	0	20	25
giessen_reptarenavirus	1	0	25
golden_reptarenavirus	0	0	25
goose_paramyxovirus_sf02	0	0	25
gorilla_anellovirus	0	0	25
great_island	2	40	25
guajara_orthobunyavirus	0	0	25
guama_orthobunyavirus	1	20	25
guanarito_mammarenavirus	3	40	25
guaroa_orthobunyavirus	2	30	25
gyrovirus_4	1	0	25
gyrovirus_gyv3	1	0	25
gyrovirus_gyv7-sf	0	0	25
gyrovirus_tu243	0	0	25
gyrovirus_tu789	0	0	25
hanko	0	0	25
hantaan_orthohantavirus	4	0	25
hantavirus_z10	1	0	25
hazara_orthonairovirus	0	20	25
heartland	2	10	25
hendra_henipavirus	2	10	25
hepacivirus_a	0	0	25
hepacivirus_b	0	0	25
hepacivirus_c	5	50	25
hepacivirus_d	0	20	25
hepacivirus_f	0	0	25
hepacivirus_i	0	0	25
hepacivirus_j	0	0	25
hepacivirus_k	0	0	25
hepacivirus_l	0	0	25
hepacivirus_m	0	0	25
hepacivirus_n	1	20	25
hepatitis_b	5	50	25
hepatitis_delta	5	50	25
hepatovirus_a	3	40	25
highlands_j	2	20	25
hughes_orthonairovirus	1	30	25
human_alphaherpesvirus_1	2	50	25
human_alphaherpesvirus_2	5	50	25
human_alphaherpesvirus_3	1	40	25
human_associated_circovirus_1	0	0	25
human_associated_cyclovirus_1	0	0	25
human_associated_cyclovirus_10	1	0	25
human_associated_cyclovirus_11	0	0	25
human_associated_cyclovirus_12	0	0	25
human_associated_cyclovirus_2	0	0	25
human_associated_cyclovirus_3	0	0	25
human_associated_cyclovirus_4	0	0	25
human_associated_cyclovirus_5	0	0	25
human_associated_cyclovirus_6	0	0	25
human_associated_cyclovirus_7	0	0	25
human_associated_cyclovirus_8	1	20	25
human_associated_cyclovirus_9	0	0	25
human_associated_gemykibivirus_1	0	0	25
human_associated_gemykibivirus_2	1	0	25
human_associated_gemykibivirus_5	0	0	25
human_associated_gemyvongvirus_1	0	0	25
human_betaherpesvirus_5	5	50	25
human_betaherpesvirus_6a	1	40	25
human_betaherpesvirus_6b	1	40	25
human_betaherpesvirus_7	0	40	25
human_coronavirus_229e	4	40	25
human_coronavirus_hku1	1	20	25
human_coronavirus_nl63	2	20	25
human_endogenous_retrovirus_k	1	10	25
human_fecal_virus_jorvi2	0	0	25
human_fecal_virus_jorvi3	0	0	25
human_fecal_virus_jorvi4	0	0	25
human_gammaherpesvirus_4	5	50	25
human_gammaherpesvirus_8	2	50	25
human_immunodeficiency_virus_1	5	50	25
human_immunodeficiency_virus_2	4	50	25
human_mastadenovirus_a	2	40	25
human_mastadenovirus_b	4	40	25
human_mastadenovirus_c	3	40	25
human_mastadenovirus_d	4	40	25
human_mastadenovirus_e	3	40	25
human_mastadenovirus_f	2	30	25
human_mastadenovirus_g	2	40	25
human_metapneumovirus	3	30	25
human_orthopneumovirus	4	40	25
human_papillomavirus	0	40	25
human_papillomavirus_type_85	0	0	25
human_picobirnavirus	0	0	25
human_polyomavirus_1	2	20	25
human_polyomavirus_2	2	20	25
human_polyomavirus_3	1	0	25
human_polyomavirus_4	2	0	25
human_polyomavirus_5	1	20	25
human_respirovirus_1	3	30	25
human_respirovirus_3	4	30	25
human_rubulavirus_2	3	20	25
human_rubulavirus_4	3	30	25
human_smacovirus_1	2	20	25
ikoma_lyssavirus	0	20	25
ilheus	1	20	25
imjin_orthohantavirus	2	20	25
indiana_vesiculovirus	3	20	25
influenza_a_segment1	4	30	25
influenza_a_segment2	4	30	25
influenza_a_segment3	4	30	25
influenza_a_segment4	4	40	25
influenza_a_segment5	3	30	25
influenza_a_segment6	4	30	25
influenza_a_segment7	3	20	25
influenza_a_segment8	3	30	25
influenza_b_segment1	2	20	25
influenza_b_segment2	3	20	25
influenza_b_segment3	3	20	25
influenza_b_segment4	3	20	25
influenza_b_segment5	2	20	25
influenza_b_segment6	2	30	25
influenza_b_segment7	2	20	25
influenza_b_segment8	2	20	25
influenza_c_segment1	2	10	25
influenza_c_segment2	2	10	25
influenza_c_segment3	2	0	25
influenza_c_segment4	1	20	25
influenza_c_segment5	2	10	25
influenza_c_segment6	1	10	25
influenza_c_segment7	1	10	25
ippy_mammarenavirus	0	0	25
irkut_lyssavirus	0	0	25
isfahan_vesiculovirus	0	0	25
j-virus	0	20	25
japanese_encephalitis	3	40	25
jeju_orthohantavirus	1	20	25
jugra	0	0	25
