Genome	Num bases covered	Frac bases covered	Frac bases covered over unambig	Average coverage/depth	Average coverage/depth over unambig
rhabdovirus, genome 0	11928	1.0	1.0	1.14855801476	1.14855801476
rhabdovirus, genome 0 (rc)	11928	1.0	1.0	1.14855801476	1.14855801476
rhabdovirus, genome 1	11821	1.0	1.0	1.92031131038	1.92031131038
rhabdovirus, genome 1 (rc)	11821	1.0	1.0	1.92031131038	1.92031131038
rhabdovirus, genome 2	11923	1.0	1.0	1.78646313847	1.78646313847
rhabdovirus, genome 2 (rc)	11923	1.0	1.0	1.78646313847	1.78646313847
rhabdovirus, genome 3	11923	1.0	1.0	2.08840057033	2.08840057033
rhabdovirus, genome 3 (rc)	11923	1.0	1.0	2.08840057033	2.08840057033
rhabdovirus, genome 4	11923	1.0	1.0	1.99614191059	1.99614191059
rhabdovirus, genome 4 (rc)	11923	1.0	1.0	1.99614191059	1.99614191059
rhabdovirus, genome 5	11927	1.0	1.0	1.19896034208	1.19896034208
rhabdovirus, genome 5 (rc)	11927	1.0	1.0	1.19896034208	1.19896034208
rhabdovirus, genome 6	11914	1.0	1.0	1.89692798388	1.89692798388
rhabdovirus, genome 6 (rc)	11914	1.0	1.0	1.89692798388	1.89692798388
rhabdovirus, genome 7	11923	1.0	1.0	1.84517319467	1.84517319467
rhabdovirus, genome 7 (rc)	11923	1.0	1.0	1.84517319467	1.84517319467
rhabdovirus, genome 8	11923	1.0	1.0	1.90388325086	1.90388325086
rhabdovirus, genome 8 (rc)	11923	1.0	1.0	1.90388325086	1.90388325086
rhabdovirus, genome 9	11923	1.0	1.0	1.84517319467	1.84517319467
rhabdovirus, genome 9 (rc)	11923	1.0	1.0	1.84517319467	1.84517319467
rhabdovirus, genome 10	11821	1.0	1.0	1.92031131038	1.92031131038
rhabdovirus, genome 10 (rc)	11821	1.0	1.0	1.92031131038	1.92031131038
rhabdovirus, genome 11	11802	1.0	1.0	1.91492967294	1.91492967294
rhabdovirus, genome 11 (rc)	11802	1.0	1.0	1.91492967294	1.91492967294
rhabdovirus, genome 12	11828	1.0	1.0	1.93608386879	1.93608386879
rhabdovirus, genome 12 (rc)	11828	1.0	1.0	1.93608386879	1.93608386879
rhabdovirus, genome 13	11834	1.0	1.0	1.96890316039	1.96890316039
rhabdovirus, genome 13 (rc)	11834	1.0	1.0	1.96890316039	1.96890316039
rhabdovirus, genome 14	11923	1.0	1.0	1.87872179821	1.87872179821
rhabdovirus, genome 14 (rc)	11923	1.0	1.0	1.87872179821	1.87872179821
rhabdovirus, genome 15	11830	1.0	1.0	1.96111580727	1.96111580727
rhabdovirus, genome 15 (rc)	11830	1.0	1.0	1.96111580727	1.96111580727
rhabdovirus, genome 16	11922	1.0	1.0	1.99630934407	1.99630934407
rhabdovirus, genome 16 (rc)	11922	1.0	1.0	1.99630934407	1.99630934407
rhabdovirus, genome 17	11821	1.0	1.0	1.93723035276	1.93723035276
rhabdovirus, genome 17 (rc)	11821	1.0	1.0	1.93723035276	1.93723035276
rhabdovirus, genome 18	11821	1.0	1.0	1.92031131038	1.92031131038
