dataset	mismatches	cover_extension	num_probes
enterovirus_a	0	0	78100
enterovirus_a	0	25	38287
enterovirus_a	0	50	24753
enterovirus_a	0	75	17754
enterovirus_a	1	0	42194
enterovirus_a	1	25	20418
enterovirus_a	1	50	13136
enterovirus_a	1	75	9438
enterovirus_a	2	0	26286
enterovirus_a	2	25	13192
enterovirus_a	2	50	8591
enterovirus_a	2	75	6270
enterovirus_a	3	0	18810
enterovirus_a	3	25	9638
enterovirus_a	3	50	6393
enterovirus_a	3	75	4686
enterovirus_a	4	0	14961
enterovirus_a	4	25	7791
enterovirus_a	4	50	5169
enterovirus_a	4	75	3888
enterovirus_a	6	0	11467
enterovirus_a	6	25	6021
enterovirus_a	6	50	4045
enterovirus_a	6	75	2957
enterovirus_a	8	0	9969
enterovirus_a	8	25	5184
enterovirus_a	8	50	3456
enterovirus_a	8	75	2545
enterovirus_b	0	0	46000
enterovirus_b	0	25	27160
enterovirus_b	0	50	19226
enterovirus_b	0	75	14844
enterovirus_b	1	0	38572
enterovirus_b	1	25	22897
enterovirus_b	1	50	16156
enterovirus_b	1	75	12397
enterovirus_b	2	0	33773
enterovirus_b	2	25	19828
enterovirus_b	2	50	13870
enterovirus_b	2	75	10585
enterovirus_b	3	0	29980
enterovirus_b	3	25	17381
enterovirus_b	3	50	12064
enterovirus_b	3	75	9112
enterovirus_b	4	0	26744
enterovirus_b	4	25	15310
enterovirus_b	4	50	10528
enterovirus_b	4	75	7953
enterovirus_b	6	0	22035
enterovirus_b	6	25	12371
enterovirus_b	6	50	8378
enterovirus_b	6	75	6174
enterovirus_b	8	0	18623
enterovirus_b	8	25	10207
enterovirus_b	8	50	6826
enterovirus_b	8	75	4987
enterovirus_c	0	0	32916
enterovirus_c	0	25	17813
enterovirus_c	0	50	12360
enterovirus_c	0	75	9325
enterovirus_c	1	0	23994
enterovirus_c	1	25	13765
enterovirus_c	1	50	9645
enterovirus_c	1	75	7316
enterovirus_c	2	0	20327
enterovirus_c	2	25	11845
enterovirus_c	2	50	8300
enterovirus_c	2	75	6302
enterovirus_c	3	0	17920
enterovirus_c	3	25	10457
enterovirus_c	3	50	7261
enterovirus_c	3	75	5512
enterovirus_c	4	0	16195
enterovirus_c	4	25	9385
enterovirus_c	4	50	6560
enterovirus_c	4	75	4939
enterovirus_c	6	0	13934
enterovirus_c	6	25	8005
enterovirus_c	6	50	5440
enterovirus_c	6	75	4031
enterovirus_c	8	0	12348
enterovirus_c	8	25	6973
enterovirus_c	8	50	4714
enterovirus_c	8	75	3428
enterovirus_d	0	0	12841
enterovirus_d	0	25	5109
enterovirus_d	0	50	3038
enterovirus_d	0	75	2040
enterovirus_d	1	0	4671
enterovirus_d	1	25	2080
enterovirus_d	1	50	1287
enterovirus_d	1	75	876
enterovirus_d	2	0	2556
enterovirus_d	2	25	1216
enterovirus_d	2	50	785
enterovirus_d	2	75	538
enterovirus_d	3	0	1801
enterovirus_d	3	25	895
enterovirus_d	3	50	566
enterovirus_d	3	75	414
