dataset	mismatches	cover_extension	num_probes
influenza_a_segment1	0	0	24444
influenza_a_segment1	0	25	8092
influenza_a_segment1	0	50	4886
influenza_a_segment1	0	75	3130
influenza_a_segment1	1	0	6246
influenza_a_segment1	1	25	2430
influenza_a_segment1	1	50	1563
influenza_a_segment1	1	75	1132
influenza_a_segment1	2	0	2951
influenza_a_segment1	2	25	1348
influenza_a_segment1	2	50	901
influenza_a_segment1	2	75	673
influenza_a_segment1	3	0	1958
influenza_a_segment1	3	25	926
influenza_a_segment1	3	50	647
influenza_a_segment1	3	75	491
influenza_a_segment1	4	0	1477
influenza_a_segment1	4	25	697
influenza_a_segment1	4	50	495
influenza_a_segment1	4	75	383
influenza_a_segment1	6	0	1037
influenza_a_segment1	6	25	504
influenza_a_segment1	6	50	367
influenza_a_segment1	6	75	272
influenza_a_segment1	8	0	823
influenza_a_segment1	8	25	416
influenza_a_segment1	8	50	300
influenza_a_segment1	8	75	236
influenza_a_segment2	0	0	24046
influenza_a_segment2	0	25	8140
influenza_a_segment2	0	50	5046
influenza_a_segment2	0	75	3357
influenza_a_segment2	1	0	6350
influenza_a_segment2	1	25	2478
influenza_a_segment2	1	50	1600
influenza_a_segment2	1	75	1136
influenza_a_segment2	2	0	2953
influenza_a_segment2	2	25	1316
influenza_a_segment2	2	50	890
influenza_a_segment2	2	75	677
influenza_a_segment2	3	0	2006
influenza_a_segment2	3	25	899
influenza_a_segment2	3	50	607
influenza_a_segment2	3	75	461
influenza_a_segment2	4	0	1517
influenza_a_segment2	4	25	692
influenza_a_segment2	4	50	482
influenza_a_segment2	4	75	391
influenza_a_segment2	6	0	1041
influenza_a_segment2	6	25	490
influenza_a_segment2	6	50	352
influenza_a_segment2	6	75	281
influenza_a_segment2	8	0	816
influenza_a_segment2	8	25	392
influenza_a_segment2	8	50	296
influenza_a_segment2	8	75	236
influenza_a_segment3	0	0	23569
influenza_a_segment3	0	25	7805
influenza_a_segment3	0	50	4705
influenza_a_segment3	0	75	3049
influenza_a_segment3	1	0	6224
influenza_a_segment3	1	25	2368
influenza_a_segment3	1	50	1527
influenza_a_segment3	1	75	1076
influenza_a_segment3	2	0	2973
influenza_a_segment3	2	25	1320
influenza_a_segment3	2	50	842
influenza_a_segment3	2	75	642
influenza_a_segment3	3	0	2000
influenza_a_segment3	3	25	899
influenza_a_segment3	3	50	604
influenza_a_segment3	3	75	470
influenza_a_segment3	4	0	1519
influenza_a_segment3	4	25	704
influenza_a_segment3	4	50	493
influenza_a_segment3	4	75	381
influenza_a_segment3	6	0	1086
influenza_a_segment3	6	25	512
influenza_a_segment3	6	50	347
influenza_a_segment3	6	75	281
influenza_a_segment3	8	0	876
influenza_a_segment3	8	25	422
influenza_a_segment3	8	50	293
influenza_a_segment3	8	75	234
influenza_a_segment4	0	0	35007
influenza_a_segment4	0	25	12084
influenza_a_segment4	0	50	7333
influenza_a_segment4	0	75	4620
influenza_a_segment4	1	0	9901
influenza_a_segment4	1	25	3543
influenza_a_segment4	1	50	2126
influenza_a_segment4	1	75	1458
influenza_a_segment4	2	0	4416
influenza_a_segment4	2	25	1773
influenza_a_segment4	2	50	1130
influenza_a_segment4	2	75	803
influenza_a_segment4	3	0	2905
influenza_a_segment4	3	25	1184
influenza_a_segment4	3	50	778
influenza_a_segment4	3	75	550
influenza_a_segment4	4	0	2205
influenza_a_segment4	4	25	897
influenza_a_segment4	4	50	605
influenza_a_segment4	4	75	432
influenza_a_segment4	6	0	1561
influenza_a_segment4	6	25	628
influenza_a_segment4	6	50	416
influenza_a_segment4	6	75	303
influenza_a_segment4	8	0	1229
influenza_a_segment4	8	25	481
influenza_a_segment4	8	50	328
influenza_a_segment4	8	75	243
influenza_a_segment5	0	0	15059
influenza_a_segment5	0	25	4904
influenza_a_segment5	0	50	3073
influenza_a_segment5	0	75	2056
influenza_a_segment5	1	0	4066
influenza_a_segment5	1	25	1403
influenza_a_segment5	1	50	902
influenza_a_segment5	1	75	639
influenza_a_segment5	2	0	1900
influenza_a_segment5	2	25	737
influenza_a_segment5	2	50	473
influenza_a_segment5	2	75	334
influenza_a_segment5	3	0	1250
influenza_a_segment5	3	25	483
influenza_a_segment5	3	50	320
influenza_a_segment5	3	75	234
influenza_a_segment5	4	0	936
influenza_a_segment5	4	25	354
influenza_a_segment5	4	50	230
influenza_a_segment5	4	75	166
influenza_a_segment5	6	0	626
influenza_a_segment5	6	25	225
influenza_a_segment5	6	50	150
influenza_a_segment5	6	75	107
influenza_a_segment5	8	0	489
influenza_a_segment5	8	25	170
influenza_a_segment5	8	50	116
influenza_a_segment5	8	75	85
influenza_a_segment6	0	0	25560
influenza_a_segment6	0	25	8616
influenza_a_segment6	0	50	5460
influenza_a_segment6	0	75	3636
influenza_a_segment6	1	0	7189
influenza_a_segment6	1	25	2533
influenza_a_segment6	1	50	1662
influenza_a_segment6	1	75	1117
influenza_a_segment6	2	0	3138
influenza_a_segment6	2	25	1253
influenza_a_segment6	2	50	874
influenza_a_segment6	2	75	642
influenza_a_segment6	3	0	2051
influenza_a_segment6	3	25	838
influenza_a_segment6	3	50	587
influenza_a_segment6	3	75	446
influenza_a_segment6	4	0	1570
influenza_a_segment6	4	25	635
influenza_a_segment6	4	50	450
influenza_a_segment6	4	75	345
influenza_a_segment6	6	0	1101
influenza_a_segment6	6	25	452
influenza_a_segment6	6	50	330
influenza_a_segment6	6	75	249
influenza_a_segment6	8	0	912
influenza_a_segment6	8	25	372
influenza_a_segment6	8	50	268
influenza_a_segment6	8	75	198
influenza_a_segment7	0	0	9389
influenza_a_segment7	0	25	3023
influenza_a_segment7	0	50	1918
influenza_a_segment7	0	75	1285
influenza_a_segment7	1	0	2583
influenza_a_segment7	1	25	828
influenza_a_segment7	1	50	530
influenza_a_segment7	1	75	384
influenza_a_segment7	2	0	1132
